Epoch,Loss_Weight_L1,Loss_Weight_SmoothL1,Loss_Weight_L2,Train_Loss,Train_L1_Loss,Train_SmoothL1_Loss,Train_L2_Loss,Train_LR,Val_Loss,Val_L1_Loss,Val_SmoothL1_Loss,Val_L2_Loss
1,tensor(0.),tensor(1.),tensor(0.),138.47430871390358,170.55590703687056,138.47430871390358,196942.41922342835,0.001,114.77701546523372,143.838726053097,114.77701546523372,158891.874653633
2,tensor(0.),tensor(1.),tensor(0.),106.80009743674049,135.9065397419953,106.80009743674049,148314.6067441743,0.001,103.5589478145092,132.09116660432863,103.5589478145092,132658.50478479546
3,tensor(0.),tensor(1.),tensor(0.),89.16996402341157,117.40004753361782,89.16996402341157,110695.99274553571,0.001,92.26674311619087,118.08120997903383,92.26674311619087,109714.10330936826
4,tensor(0.),tensor(1.),tensor(0.),76.08523754826908,103.38523759865409,76.08523754826908,83313.31287410342,0.001,86.2203880483881,112.9466637813399,86.2203880483881,97822.56756020532
5,tensor(0.),tensor(1.),tensor(0.),65.25639892975097,91.60095306217964,65.25639892975097,64505.187689118786,0.001,79.71376478260962,106.55196180484565,79.71376478260962,84105.63083983172
6,tensor(0.),tensor(1.),tensor(0.),57.98918536613728,83.64149211662743,57.98918536613728,52437.23706671052,0.001,76.94256536596514,104.8383584844655,76.94256536596514,75798.91760795105
7,tensor(0.),tensor(1.),tensor(0.),52.18254538474999,77.27317379965571,52.18254538474999,43753.62080578734,0.001,75.65809394573343,104.5365992860841,75.65809394573343,78367.51496293391
8,tensor(0.),tensor(1.),tensor(0.),47.636771639286,72.28092603143213,47.636771639286,37055.605497012584,0.001,69.5772953432769,95.91099669075952,69.5772953432769,64800.80204254301
9,tensor(0.),tensor(1.),tensor(0.),43.23005511343773,67.42922825883763,43.23005511343773,32014.97034270188,0.001,68.60174808948499,96.5638228073496,68.60174808948499,63163.4749891159
10,tensor(0.),tensor(1.),tensor(0.),39.9056556999977,63.66210970972559,39.9056556999977,28087.555150187076,0.001,67.07933094466262,95.47556607476596,67.07933094466262,58991.34680025448
11,tensor(0.),tensor(1.),tensor(0.),36.673818453192126,60.06650310490519,36.673818453192126,24436.97608087098,0.001,62.844091744258485,89.57336773895865,62.844091744258485,54286.814361121265
12,tensor(0.),tensor(1.),tensor(0.),33.98137766504522,57.04934443100333,33.98137766504522,22194.341567016,0.001,60.52825465225821,86.87098563245952,60.52825465225821,55798.0897751982
13,tensor(0.),tensor(1.),tensor(0.),30.853629024745207,53.5052065226832,30.853629024745207,19060.30865236104,0.001,60.71785911785558,88.2429497723509,60.71785911785558,53845.173584886375
14,tensor(0.),tensor(1.),tensor(0.),28.75141101165358,51.07403444128084,28.75141101165358,17021.525518595878,0.001,59.55202117224632,87.81951875639666,59.55202117224632,53492.42850618409
15,tensor(0.),tensor(1.),tensor(0.),26.68377418060021,48.59660166002847,26.68377418060021,15893.86497350984,0.001,55.780539538472745,81.11288446510954,55.780539538472745,50157.760293894804
16,tensor(0.),tensor(1.),tensor(0.),24.837133264233326,46.49157590760386,24.837133264233326,14316.794410592816,0.001,55.21594348740695,80.56529533452002,55.21594348740695,47491.87143590768
17,tensor(0.),tensor(1.),tensor(0.),23.48794796460955,44.771052447445875,23.48794796460955,13576.710767755367,0.001,57.12236898755793,84.41988466291005,57.12236898755793,49270.94994846588
18,tensor(0.),tensor(1.),tensor(0.),21.91044422220714,42.95132520574654,21.91044422220714,12081.647292583446,0.001,53.932270973186775,80.66397312944159,53.932270973186775,46761.020146412215
19,tensor(0.),tensor(1.),tensor(0.),20.934718098399674,41.67729050655083,20.934718098399674,11659.171834410117,0.001,53.32143466225986,79.45959052428823,53.32143466225986,46016.59057000823
20,tensor(0.),tensor(1.),tensor(0.),19.631636019851186,40.12059694088151,19.631636019851186,10691.765954473336,0.001,52.19577084151395,77.67558841047615,52.19577084151395,45366.90289667439
21,tensor(0.),tensor(1.),tensor(0.),18.822243972218097,39.014152108742095,18.822243972218097,10241.538083663714,0.001,48.2248495887653,71.07025338393714,48.2248495887653,42112.28811525241
22,tensor(0.),tensor(1.),tensor(0.),17.851559806486655,37.73564561775753,17.851559806486655,9573.102050649708,0.001,49.00979732762416,73.37990248262001,49.00979732762416,42900.18922837732
23,tensor(0.),tensor(1.),tensor(0.),17.003466277360328,36.72808414785733,17.003466277360328,8956.031020385291,0.001,49.782596636288275,74.96279139119416,49.782596636288275,42720.750778574075
24,tensor(0.),tensor(1.),tensor(0.),16.265367273333037,35.69510905202387,16.265367273333037,8472.36646749938,0.001,49.67563460965462,74.77882264987589,49.67563460965462,42154.24082518329
25,tensor(0.),tensor(1.),tensor(0.),15.7523428319123,35.02159629784194,15.7523428319123,8412.109657625846,0.001,48.479494783091425,73.7463766365803,48.479494783091425,40995.455331586265
26,tensor(0.),tensor(1.),tensor(0.),14.921612167886913,33.9549016353532,14.921612167886913,7737.520519867319,0.001,46.55311469374032,69.63607181821551,46.55311469374032,39481.24028894584
27,tensor(0.),tensor(1.),tensor(0.),14.347596675561274,33.15229213942448,14.347596675561274,7302.790051258256,0.001,46.584459065216514,69.73003002223123,46.584459065216514,38654.33741587371
28,tensor(0.),tensor(1.),tensor(0.),14.022546392356233,32.68370143885683,14.022546392356233,7192.387253418345,0.001,48.37290851001082,73.32222394050636,48.37290851001082,40728.67870853217
29,tensor(0.),tensor(1.),tensor(0.),13.572106934973759,32.067550396684354,13.572106934973759,6992.803296685806,0.001,45.43619617452762,67.91147320141346,45.43619617452762,38496.20126748672
30,tensor(0.),tensor(1.),tensor(0.),13.063543276613569,31.447613363195522,13.063543276613569,6642.833476588056,0.001,46.07371378825803,69.39576233549072,46.07371378825803,39586.0379721355
31,tensor(0.),tensor(1.),tensor(0.),12.567356761673402,30.73274409947137,12.567356761673402,6184.514825586028,0.001,45.51473939594964,68.41610703209938,45.51473939594964,38482.70066134448
32,tensor(0.),tensor(1.),tensor(0.),12.187397799174773,30.15245567254832,12.187397799174773,5964.564943773993,0.001,44.226578045948386,66.34975780994434,44.226578045948386,37122.348025918596
33,tensor(0.),tensor(1.),tensor(0.),11.892375336565408,29.717692016967998,11.892375336565408,5943.331806727818,0.001,44.615522957787725,67.6534615690485,44.615522957787725,37460.277460708996
34,tensor(0.),tensor(1.),tensor(0.),11.601367187727554,29.326587499068875,11.601367187727554,5764.003029452168,0.001,44.052756506821204,66.42112428214162,44.052756506821204,37786.46635008563
35,tensor(0.),tensor(1.),tensor(0.),11.157239490395108,28.70729572960896,11.157239490395108,5374.563872999745,0.001,43.96468587285779,67.31713083342379,43.96468587285779,37214.72185835815
36,tensor(0.),tensor(1.),tensor(0.),10.69920047937796,28.130399165775977,10.69920047937796,5078.583412724763,0.001,42.99170535890927,65.28226988421285,42.99170535890927,35295.98173545499
37,tensor(0.),tensor(1.),tensor(0.),10.644654215997075,27.998724033973488,10.644654215997075,5122.4854700999895,0.001,43.983333626991424,66.36984189977787,43.983333626991424,36607.86061321691
38,tensor(0.),tensor(1.),tensor(0.),10.239322573093357,27.422185019906518,10.239322573093357,4831.036598919648,0.001,43.573953015463694,67.08523342057401,43.573953015463694,37336.27089792637
39,tensor(0.),tensor(1.),tensor(0.),10.058228468806872,27.137385747996458,10.058228468806872,4836.392282777232,0.001,42.787340531208244,64.58750106078651,42.787340531208244,36264.042272558356
40,tensor(0.),tensor(1.),tensor(0.),9.958909856972143,26.973518291717678,9.958909856972143,4607.472320659995,0.001,42.51780117145313,64.30413325549347,42.51780117145313,35398.082576657755
41,tensor(0.),tensor(1.),tensor(0.),9.704989035324804,26.582852762614564,9.704989035324804,4465.188477445706,0.001,43.19305300242795,65.48837324433725,43.19305300242795,35765.330403144726
42,tensor(0.),tensor(1.),tensor(0.),9.470431000434706,26.217873318735602,9.470431000434706,4411.427482464043,0.001,41.82098237898549,62.066207869299525,41.82098237898549,36119.48565598662
43,tensor(0.),tensor(1.),tensor(0.),9.197957501035606,25.859678022086328,9.197957501035606,4007.7071536773533,0.001,42.35721624660962,63.92594993760433,42.35721624660962,35766.16208231508
44,tensor(0.),tensor(1.),tensor(0.),8.955408563754828,25.47974949429188,8.955408563754828,3939.546024200364,0.001,42.19529134710434,64.3200826809324,42.19529134710434,35555.28600848719
45,tensor(0.),tensor(1.),tensor(0.),8.815001441413546,25.32353128441449,8.815001441413546,3818.21435179499,0.001,41.6840455579053,63.269419702990305,41.6840455579053,34267.9788698093
46,tensor(0.),tensor(1.),tensor(0.),8.689544991539616,25.070977014273847,8.689544991539616,3905.2115331847094,0.001,42.023174851985985,62.65432781773835,42.023174851985985,36824.14189110366
47,tensor(0.),tensor(1.),tensor(0.),8.423042869883512,24.747429411693158,8.423042869883512,3598.996240456116,0.001,41.71412424794559,63.4362433226825,41.71412424794559,34572.36633105348
48,tensor(0.),tensor(1.),tensor(0.),8.36341927079438,24.619160700020533,8.36341927079438,3731.488839539401,0.001,42.639959468630146,64.26859543711093,42.639959468630146,36677.91095692301
49,tensor(0.),tensor(1.),tensor(0.),8.066967397341,24.202023078948994,8.066967397341,3262.7443599419053,0.001,40.14708010081587,60.596906448232716,40.14708010081587,33811.97387236797
50,tensor(0.),tensor(1.),tensor(0.),7.933443098049152,23.935812433952183,7.933443098049152,3163.418926267201,0.001,41.563376455471435,62.89718172702883,41.563376455471435,35339.23274028007
