Epoch,Loss_Weight_L1,Loss_Weight_SmoothL1,Loss_Weight_L2,Train_Loss,Train_L1_Loss,Train_SmoothL1_Loss,Train_L2_Loss,Train_LR,Val_Loss,Val_L1_Loss,Val_SmoothL1_Loss,Val_L2_Loss,L2_Contribution_Individual,L2_Contribution_Seed_Embedding
1,0.0,1.0,0.0,65.1720856221642,81.02304075959474,65.1720856221642,21279.190873794356,0.001,9.706798097905837,20.444586385892134,9.706798097905837,1648.700759447153,1.0,0.0
2,0.0,1.0,0.0,9.240848909838618,20.479007002562675,9.240848909838618,1497.7605899800778,0.001,9.590331090091095,20.756241430447798,9.590331090091095,1620.2572188089525,1.0,0.0
3,0.0,1.0,0.0,8.962813263020804,19.842359318195054,8.962813263020804,1451.152016777379,0.001,9.417989981143181,19.96743355398103,9.417989981143181,1583.579009689371,1.0,0.0
4,0.0,1.0,0.0,8.708843311612688,19.34802533322432,8.708843311612688,1406.1458010535853,0.001,9.47606281595906,20.726204083660456,9.47606281595906,1569.2330348698174,1.0,0.0
5,0.0,1.0,0.0,8.511370481312118,19.022527322994442,8.511370481312118,1372.4629343188028,0.001,9.617851661571994,19.99338139511469,9.617851661571994,1607.9474446454385,1.0,0.0
6,0.0,1.0,0.0,8.191968354653186,18.444047459154305,8.191968354653186,1323.383956368514,0.001,9.881535440605143,20.498082536412035,9.881535440605143,1644.858146046716,1.0,0.0
7,0.0,1.0,0.0,7.759059166501514,17.750496425027922,7.759059166501514,1255.789344887721,0.001,10.09662796756414,20.914190174713536,10.09662796756414,1645.4842051108053,1.0,0.0
8,0.0,1.0,0.0,7.301006743601301,17.066523786604872,7.301006743601301,1180.1746952627589,0.001,10.344438178019887,20.559847256017168,10.344438178019887,1729.452876413901,1.0,0.0
9,0.0,1.0,0.0,6.822587288036122,16.372707916995672,6.822587288036122,1096.86269515831,0.001,10.573473817094417,21.218500930806158,10.573473817094417,1712.4657108176725,1.0,0.0
10,0.0,1.0,0.0,6.061603837751654,15.208364957899558,6.061603837751654,977.7305946350098,0.0005623413251903491,10.90994340854054,21.63055412913245,10.90994340854054,1759.4792952249682,1.0,0.0
11,0.0,1.0,0.0,5.621705594494587,14.626016007320775,5.621705594494587,899.9184028194958,0.0005623413251903491,11.291577418019452,23.026871330781873,11.291577418019452,1787.8443960755517,1.0,0.0
12,0.0,1.0,0.0,5.319710909459848,14.20243854034604,5.319710909459848,846.0258147372349,0.0005623413251903491,11.379837118734525,22.45698282537185,11.379837118734525,1817.2796537143977,1.0,0.0
13,0.0,1.0,0.0,5.047353299975082,13.887442648254355,5.047353299975082,793.5326252384136,0.0005623413251903491,11.515691515654716,22.42843110792906,11.515691515654716,1835.5588527088717,1.0,0.0
14,0.0,1.0,0.0,4.85667332482776,13.618959804532409,4.85667332482776,756.418493816546,0.0005623413251903491,11.689192821973265,23.102540789626715,11.689192821973265,1841.1016265789042,1.0,0.0
15,0.0,1.0,0.0,4.6572052956096766,13.358563586795738,4.6572052956096766,716.4210583844523,0.0005623413251903491,11.763477793515824,22.745800253600272,11.763477793515824,1873.9640188943056,1.0,0.0
16,0.0,1.0,0.0,4.245558265391297,12.763577903662453,4.245558265391297,644.6805409208683,0.00031622776601683794,11.687358438186445,22.440485759044257,11.687358438186445,1872.2348869904445,1.0,0.0
17,0.0,1.0,0.0,4.018998298745143,12.452266492555774,4.018998298745143,609.4266597016903,0.00031622776601683794,11.796185487211533,22.626714796531857,11.796185487211533,1891.2314248873492,1.0,0.0
18,0.0,1.0,0.0,3.8881592865534653,12.29485975069011,3.8881592865534653,585.9759577353169,0.00031622776601683794,11.767661651601315,22.70053803701726,11.767661651601315,1875.4677174485576,1.0,0.0
19,0.0,1.0,0.0,3.7340788001150598,12.071839749343752,3.7340788001150598,559.4754085941265,0.00031622776601683794,12.070261221232377,23.0905792506661,12.070261221232377,1914.4130636700809,1.0,0.0
20,0.0,1.0,0.0,3.634768280887541,11.965916230922609,3.634768280887541,534.9012959447746,0.00031622776601683794,12.005498828537508,23.11979330117934,12.005498828537508,1904.8199860980817,1.0,0.0
21,0.0,1.0,0.0,3.560216484733141,11.88821363292654,3.560216484733141,522.7539983634248,0.00031622776601683794,11.883133345075793,22.887079016117287,11.883133345075793,1893.7111068285044,1.0,0.0
22,0.0,1.0,0.0,3.363904420041975,11.529761396680916,3.363904420041975,487.38272548285056,0.00017782794100389227,12.013127332597268,22.99480523837833,12.013127332597268,1912.523896785546,1.0,0.0
23,0.0,1.0,0.0,3.2097433305240366,11.30540157428251,3.2097433305240366,466.3854604956359,0.00017782794100389227,12.225245597168529,23.488235110685896,12.225245597168529,1936.5595136827685,1.0,0.0
24,0.0,1.0,0.0,3.1664820013474917,11.26359295563435,3.1664820013474917,453.7612314799952,0.00017782794100389227,12.231952653469376,23.58954498210917,12.231952653469376,1934.4288970867167,1.0,0.0
25,0.0,1.0,0.0,3.0602319993841367,11.087980962175084,3.0602319993841367,436.1671358544057,0.00017782794100389227,12.139788366052422,23.396612219923124,12.139788366052422,1932.9248283966945,1.0,0.0
26,0.0,1.0,0.0,3.03618403827268,11.070091873642028,3.03618403827268,429.20188510824687,0.00017782794100389227,12.500322419514493,23.885618785547774,12.500322419514493,1969.5157773475946,1.0,0.0
27,0.0,1.0,0.0,2.978864519693094,10.980373283696613,2.978864519693094,417.6847860831914,0.00017782794100389227,12.067144684278434,23.116483613262027,12.067144684278434,1916.3851836597512,1.0,0.0
28,0.0,1.0,0.0,2.860394706094046,10.785321304178613,2.860394706094046,399.927383923468,9.999999999999999e-05,12.047872721053796,23.19384780393185,12.047872721053796,1918.2059278112697,1.0,0.0
29,0.0,1.0,0.0,2.8090989099634602,10.685634217550122,2.8090989099634602,391.60547364602877,9.999999999999999e-05,12.433977425567747,23.638180988041434,12.433977425567747,1965.7155660794476,1.0,0.0
30,0.0,1.0,0.0,2.755909182229067,10.622971262518815,2.755909182229067,380.3826613689032,9.999999999999999e-05,12.344474746173448,23.583419682159825,12.344474746173448,1951.3484130218585,1.0,0.0
31,0.0,1.0,0.0,2.718794584039628,10.53403553186752,2.718794584039628,372.92950025943946,9.999999999999999e-05,12.302848631315657,23.485125671847285,12.302848631315657,1946.4827824790334,1.0,0.0
32,0.0,1.0,0.0,2.6811943316631743,10.493561457774145,2.6811943316631743,368.30561458157115,9.999999999999999e-05,12.28229271645934,23.4677599834332,12.28229271645934,1940.4991814720975,1.0,0.0
33,0.0,1.0,0.0,2.649870744214596,10.431445083906018,2.649870744214596,360.82759403118627,9.999999999999999e-05,12.168662795244552,23.284004389144616,12.168662795244552,1934.1447045033372,1.0,0.0
34,0.0,1.0,0.0,2.6038734770900622,10.346618278758733,2.6038734770900622,348.99213342341227,5.62341325190349e-05,12.356875927742385,23.527944009135087,12.356875927742385,1959.0697455618952,1.0,0.0
35,0.0,1.0,0.0,2.5824124504887838,10.329996306439398,2.5824124504887838,349.6378813716057,5.62341325190349e-05,12.355640559058802,23.593083774636735,12.355640559058802,1953.813477443585,1.0,0.0
36,0.0,1.0,0.0,2.521703158659259,10.22928603865656,2.521703158659259,339.3610755590003,5.62341325190349e-05,12.303889384732784,23.472879970480452,12.303889384732784,1942.0771023807877,1.0,0.0
37,0.0,1.0,0.0,2.5279309434762465,10.197308528454597,2.5279309434762465,339.55324710135073,5.62341325190349e-05,12.319700326193662,23.543214970686304,12.319700326193662,1947.26591503714,1.0,0.0
38,0.0,1.0,0.0,2.511370572948393,10.18170738282792,2.511370572948393,339.3239390555955,5.62341325190349e-05,12.204182054114154,23.299760851021514,12.204182054114154,1940.2225861636985,1.0,0.0
39,0.0,1.0,0.0,2.521790546851521,10.225077276467651,2.521790546851521,335.9460450069798,5.62341325190349e-05,12.243306996002598,23.591815978523314,12.243306996002598,1934.2995302695929,1.0,0.0
40,0.0,1.0,0.0,2.4667692844636173,10.108617021968671,2.4667692844636173,328.57173852595133,3.162277660168379e-05,12.106164295842328,23.155539417517154,12.106164295842328,1931.125515594883,1.0,0.0
41,0.0,1.0,0.0,2.4467243571763277,10.084485703253058,2.4467243571763277,324.45547070090225,3.162277660168379e-05,12.484302465684145,23.84322584958214,12.484302465684145,1962.7897131411735,1.0,0.0
42,0.0,1.0,0.0,2.4196854076125804,10.029518212233315,2.4196854076125804,321.1739588459646,3.162277660168379e-05,12.40204539261465,23.698307207563104,12.40204539261465,1961.2189607394962,1.0,0.0
43,0.0,1.0,0.0,2.401532292092253,10.002685574096018,2.401532292092253,318.5634526230219,3.162277660168379e-05,12.244098565709873,23.386639993021806,12.244098565709873,1945.4153053103469,1.0,0.0
44,0.0,1.0,0.0,2.424405099643184,10.040989484999749,2.424405099643184,320.3885863747184,3.162277660168379e-05,12.36066673809462,23.551905046297808,12.36066673809462,1952.922247618828,1.0,0.0
45,0.0,1.0,0.0,2.4230480645819914,10.048162464081772,2.4230480645819914,320.3001418827087,3.162277660168379e-05,12.306800564443032,23.53900320698896,12.306800564443032,1942.664151729874,1.0,0.0
46,0.0,1.0,0.0,2.366068233381419,9.924752422517992,2.366068233381419,312.51139750443105,1.7782794100389226e-05,12.60651719163409,24.00175609989116,12.60651719163409,1981.2030603604053,1.0,0.0
47,0.0,1.0,0.0,2.3507430468957256,9.895634320464348,2.3507430468957256,312.33748293298436,1.7782794100389226e-05,12.313544116308057,23.51957591249561,12.313544116308057,1943.0034114006623,1.0,0.0
48,0.0,1.0,0.0,2.3619791236058307,9.91194099078341,2.3619791236058307,311.65145023976726,1.7782794100389226e-05,12.507233609677613,23.891635957352445,12.507233609677613,1958.1824489803764,1.0,0.0
49,0.0,1.0,0.0,2.383517532210963,9.9668289548143,2.383517532210963,314.79043121037523,1.7782794100389226e-05,12.666878974343849,24.080625854452137,12.666878974343849,1980.0313171226521,1.0,0.0
50,0.0,1.0,0.0,2.3553215258625237,9.93699929626595,2.3553215258625237,311.3185274469571,1.7782794100389226e-05,12.360690528639346,23.560408507119327,12.360690528639346,1954.0564903599698,1.0,0.0
51,0.0,1.0,0.0,2.3426406943970153,9.890636890579083,2.3426406943970153,308.5336792012212,1.7782794100389226e-05,12.284446319570065,23.398049154306648,12.284446319570065,1948.5540149919004,1.0,0.0
52,0.0,1.0,0.0,2.3275769555506116,9.880938567201609,2.3275769555506116,306.16345471159366,9.999999999999999e-06,12.363655493328265,23.63251164203554,12.363655493328265,1952.6890636854598,1.0,0.0
53,0.0,1.0,0.0,2.33039856594535,9.88206259847626,2.33039856594535,305.2861467146185,9.999999999999999e-06,12.450908539489186,23.739727943901002,12.450908539489186,1960.5578678962127,1.0,0.0
54,0.0,1.0,0.0,2.333834314733509,9.885395230583631,2.333834314733509,305.0660237064512,9.999999999999999e-06,12.409158149729251,23.64979073882416,12.409158149729251,1957.1208963869751,1.0,0.0
55,0.0,1.0,0.0,2.3231912376530213,9.859964125738369,2.3231912376530213,302.50545851639873,9.999999999999999e-06,12.11962735433904,23.169500936673384,12.11962735433904,1932.641029417984,1.0,0.0
56,0.0,1.0,0.0,2.3253327154033765,9.891474838331929,2.3253327154033765,303.8160084601775,9.999999999999999e-06,12.266137262028971,23.49339709945238,12.266137262028971,1939.6160471358012,1.0,0.0
57,0.0,1.0,0.0,2.3269072974838925,9.865636152232414,2.3269072974838925,306.1861252271597,9.999999999999999e-06,12.33683448826547,23.50655689639995,12.33683448826547,1953.273179502312,1.0,0.0
58,0.0,1.0,0.0,2.312192741497921,9.85358286811298,2.312192741497921,302.9927841747214,5.62341325190349e-06,12.27048590865348,23.595574266328587,12.27048590865348,1939.1075272847975,1.0,0.0
59,0.0,1.0,0.0,2.2938036014010588,9.80179236066623,2.2938036014010588,298.7312947320813,5.62341325190349e-06,12.230594940385794,23.469991824132563,12.230594940385794,1932.4373428464874,1.0,0.0
60,0.0,1.0,0.0,2.3023066018118947,9.81263576530096,2.3023066018118947,299.0422606781086,5.62341325190349e-06,12.379136488506488,23.630661110865475,12.379136488506488,1951.5371415746495,1.0,0.0
61,0.0,1.0,0.0,2.3147533949357006,9.850214872773238,2.3147533949357006,304.2671696119734,5.62341325190349e-06,12.186176228710986,23.32586901707286,12.186176228710986,1935.4834652397576,1.0,0.0
62,0.0,1.0,0.0,2.2899389027219432,9.788879130143194,2.2899389027219432,301.230168575377,5.62341325190349e-06,12.246329219948276,23.42602968090788,12.246329219948276,1938.3054348202202,1.0,0.0
63,0.0,1.0,0.0,2.311707103776494,9.851635054966284,2.311707103776494,302.44157308543447,5.62341325190349e-06,12.224366714948118,23.48995134398693,12.224366714948118,1930.4874672877195,1.0,0.0
64,0.0,1.0,0.0,2.2905232836333473,9.8218481794117,2.2905232836333473,300.69736723511863,3.162277660168379e-06,12.335437185182347,23.591115428393906,12.335437185182347,1948.9365835114727,1.0,0.0
65,0.0,1.0,0.0,2.3312562237105032,9.877419239266963,2.3312562237105032,305.07009901211956,3.162277660168379e-06,12.30891689540833,23.489687989703,12.30891689540833,1944.5911487969827,1.0,0.0
66,0.0,1.0,0.0,2.330482415131384,9.866309363072313,2.330482415131384,305.15927356309464,3.162277660168379e-06,12.264688136383617,23.58643929539077,12.264688136383617,1938.0484712856023,1.0,0.0
67,0.0,1.0,0.0,2.2737450200741685,9.792584986511491,2.2737450200741685,297.22440417983086,3.162277660168379e-06,12.239761309986665,23.424236587964955,12.239761309986665,1935.8812057214773,1.0,0.0
68,0.0,1.0,0.0,2.2817753700837686,9.795638478959953,2.2817753700837686,299.4675032197647,3.162277660168379e-06,12.351112172985328,23.613933638324887,12.351112172985328,1945.2896667640666,1.0,0.0
69,0.0,1.0,0.0,2.2843612933487405,9.809664305739515,2.2843612933487405,299.1259391213965,3.162277660168379e-06,12.173618876089261,23.292550036913454,12.173618876089261,1934.828939282675,1.0,0.0
70,0.0,1.0,0.0,2.295022125436565,9.813231302058602,2.295022125436565,300.36870238536926,1.7782794100389227e-06,12.678853468006364,24.169209953368178,12.678853468006364,1983.4398295885621,1.0,0.0
71,0.0,1.0,0.0,2.301247450818853,9.814142803507528,2.301247450818853,300.7406522095047,1.7782794100389227e-06,12.276338900168112,23.397877835851954,12.276338900168112,1942.5100536596744,1.0,0.0
72,0.0,1.0,0.0,2.323203199491726,9.8756688614217,2.323203199491726,304.7477017274992,1.7782794100389227e-06,12.170878008594663,23.22481332363419,12.170878008594663,1934.469352021305,1.0,0.0
73,0.0,1.0,0.0,2.308318718133636,9.817768277458631,2.308318718133636,300.4077754183391,1.7782794100389227e-06,12.313486828891625,23.498295766475007,12.313486828891625,1947.72836007346,1.0,0.0
74,0.0,1.0,0.0,2.2916584733746497,9.797815577251704,2.2916584733746497,298.7509260252705,1.7782794100389227e-06,12.317697523772873,23.50903841454213,12.317697523772873,1948.2101990707276,1.0,0.0
75,0.0,1.0,0.0,2.283546022151712,9.809175866169566,2.283546022151712,298.43108502335434,1.7782794100389227e-06,12.33935681415668,23.749819808118925,12.33935681415668,1943.472672910515,1.0,0.0
76,0.0,1.0,0.0,2.294009778443284,9.803420691978275,2.294009778443284,300.72814800232413,1e-06,12.40855732865221,23.66232060009413,12.40855732865221,1961.2280881386102,1.0,0.0
77,0.0,1.0,0.0,2.2923043442992714,9.80691983224213,2.2923043442992714,297.8794946570409,1e-06,12.318669456822352,23.557186662368576,12.318669456822352,1944.1666558533516,1.0,0.0
78,0.0,1.0,0.0,2.2742760522080845,9.784341570586356,2.2742760522080845,296.9275309044545,1e-06,12.205700383724503,23.334404717593056,12.205700383724503,1936.0379381555272,1.0,0.0
79,0.0,1.0,0.0,2.289762134783537,9.808112209550352,2.289762134783537,297.88240767651655,1e-06,12.246868035924717,23.590574855253767,12.246868035924717,1934.6967103812951,1.0,0.0
80,0.0,1.0,0.0,2.303895766184399,9.843441440990278,2.303895766184399,300.04445406896235,1e-06,12.425149679809731,23.798165524099755,12.425149679809731,1954.2113849309485,1.0,0.0
81,0.0,1.0,0.0,2.3054148865340576,9.822741331390821,2.3054148865340576,300.7796065913723,1e-06,12.24825416462315,23.428749074460328,12.24825416462315,1935.5749765631408,1.0,0.0
82,0.0,1.0,0.0,2.289636707603149,9.79809590837774,2.289636707603149,299.28338259599343,5.62341325190349e-07,12.391912465333313,23.704709753902566,12.391912465333313,1949.9352265605776,1.0,0.0
83,0.0,1.0,0.0,2.317303016781807,9.866544737903466,2.317303016781807,304.7279663186061,5.62341325190349e-07,12.358095644653,23.64050655415052,12.358095644653,1950.9035888031085,1.0,0.0
84,0.0,1.0,0.0,2.282709380421113,9.79772974844054,2.282709380421113,297.4560390131993,5.62341325190349e-07,12.205845314686693,23.322379332514885,12.205845314686693,1944.1653689086593,1.0,0.0
85,0.0,1.0,0.0,2.2947943017786256,9.790384261001126,2.2947943017786256,299.9003664852753,5.62341325190349e-07,12.133387570618957,23.144754477373258,12.133387570618957,1933.1291189919618,1.0,0.0
86,0.0,1.0,0.0,2.260431592467576,9.759915672887967,2.260431592467576,295.11945722484836,5.62341325190349e-07,12.467840006970984,23.912231920898115,12.467840006970984,1955.8667187628157,1.0,0.0
87,0.0,1.0,0.0,2.3041770177406904,9.852549993147061,2.3041770177406904,299.2328349836855,5.62341325190349e-07,12.427588889605104,23.746582787180824,12.427588889605104,1956.2594333758818,1.0,0.0
88,0.0,1.0,0.0,2.289108814021421,9.810053514683341,2.289108814021421,299.59888775642776,3.162277660168379e-07,12.36326770519647,23.533115474570767,12.36326770519647,1955.8863633523777,1.0,0.0
89,0.0,1.0,0.0,2.2869461752532976,9.814420415973412,2.2869461752532976,298.9816464727006,3.162277660168379e-07,12.202428834644829,23.334700689541073,12.202428834644829,1933.5024679989951,1.0,0.0
90,0.0,1.0,0.0,2.278705866278939,9.785287754429294,2.278705866278939,299.81365830629204,3.162277660168379e-07,12.397065242757321,23.665659363814225,12.397065242757321,1955.9379671352117,1.0,0.0
91,0.0,1.0,0.0,2.2679795796868056,9.780204415947122,2.2679795796868056,295.15281692765205,3.162277660168379e-07,12.23224535889513,23.415666993208756,12.23224535889513,1932.7535248203228,1.0,0.0
92,0.0,1.0,0.0,2.2949387278613145,9.829016045322568,2.2949387278613145,298.48262608145166,3.162277660168379e-07,12.366781896806451,23.67969422578186,12.366781896806451,1946.769338452597,1.0,0.0
93,0.0,1.0,0.0,2.277975588254728,9.801353657652387,2.277975588254728,299.08982608324584,3.162277660168379e-07,12.113023500742875,23.076631848893452,12.113023500742875,1937.6287027193805,1.0,0.0
94,0.0,1.0,0.0,2.2646328260501227,9.773902129313452,2.2646328260501227,296.77539530075757,1.7782794100389227e-07,12.188174743351974,23.316576319416676,12.188174743351974,1933.018531699193,1.0,0.0
95,0.0,1.0,0.0,2.301476352640337,9.8421174500558,2.301476352640337,300.9621555448517,1.7782794100389227e-07,12.338951459394039,23.59842810292882,12.338951459394039,1945.7696002950192,1.0,0.0
96,0.0,1.0,0.0,2.2642928306355565,9.758186962660842,2.2642928306355565,297.06476700650114,1.7782794100389227e-07,12.245626035324857,23.403329551376384,12.245626035324857,1938.0525092177504,1.0,0.0
97,0.0,1.0,0.0,2.28773118508613,9.805967671351796,2.28773118508613,298.13392085478375,1.7782794100389227e-07,12.086894039093979,23.08653308337755,12.086894039093979,1931.0762636680304,1.0,0.0
98,0.0,1.0,0.0,2.296964607643956,9.809487154790423,2.296964607643956,300.9415573510598,1.7782794100389227e-07,12.523379262038103,23.857535595030296,12.523379262038103,1966.9804809249918,1.0,0.0
99,0.0,1.0,0.0,2.248143219885238,9.699035071325428,2.248143219885238,293.68654838321714,1.7782794100389227e-07,12.401898867189102,23.808574511310248,12.401898867189102,1949.3713889134524,1.0,0.0
100,0.0,1.0,0.0,2.2706882479231503,9.777654445077491,2.2706882479231503,294.0371894385871,1e-07,12.438225483331154,23.74593290444121,12.438225483331154,1956.8833584522638,1.0,0.0
